Rank,Name,Genre,Publisher
1426,Crash Bandicoot 2: N-Tranced,Platform,Vivendi Games
1427,Burnout Paradise,Racing,Electronic Arts
1428,SingStar Abba,Misc,Sony Computer Entertainment
1429,Gradius,Shooter,Konami Digital Entertainment
1430,Dragon Quest III: Soshite Densetsu e...,Role-Playing,Enix Corporation
1431,Centipede,Shooter,Atari
1432,Yoshi's New Island,Platform,Nintendo
1433,Ryse: Son of Rome,Action,Microsoft Game Studios
1434,Dead to Rights,Shooter,Electronic Arts
1435,LEGO Harry Potter: Years 5-7,Action,Warner Bros. Interactive Entertainment
1436,Marvel vs. Capcom 3: Fate of Two Worlds,Fighting,Capcom
1437,Dance Dance Revolution (Japan),Simulation,Konami Digital Entertainment
1438,F1 2010,Racing,Codemasters
1439,Madden NFL 98,Sports,Electronic Arts
1440,FIFA Soccer 09,Sports,Electronic Arts
1441,Namco Museum DS,Misc,Atari
1442,FIFA Soccer 08,Sports,Electronic Arts
1443,Grand Theft Auto: Chinatown Wars,Action,Take-Two Interactive
1444,Alan Wake,Action,Microsoft Game Studios
1445,Battlefield: Bad Company,Shooter,Electronic Arts
1446,Mortal Kombat X,Fighting,Warner Bros. Interactive Entertainment
1447,Samurai Warriors,Action,Electronic Arts
1448,The Simpsons: Hit & Run,Racing,Vivendi Games
1449,Devil May Cry 4,Action,Capcom
1450,Tom Clancy's Rainbow Six: Vegas 2,Shooter,Ubisoft
1451,Monster Hunter Freedom,Role-Playing,Capcom
1452,Crysis 2,Action,Electronic Arts
1453,SaGa Frontier,Role-Playing,SquareSoft
1454,SingStar Party,Misc,Sony Computer Entertainment
1455,FIFA Soccer 08,Sports,Electronic Arts
1456,The ICO & Shadow of the Colossus Collection,Adventure,Sony Computer Entertainment
1457,Test Drive,Racing,Atari
1458,Mario & Luigi: Partners in Time,Role-Playing,Nintendo
1459,Lost Planet: Extreme Condition,Shooter,Capcom
1460,Mortal Kombat 3,Fighting,Acclaim Entertainment
1461,Doom 3,Shooter,Activision
1462,Donkey Kong Jungle Beat,Platform,Nintendo
1463,Need for Speed Carbon,Racing,Electronic Arts
1464,Max Payne 2: The Fall of Max Payne,Shooter,Take-Two Interactive
1465,Command & Conquer: Red Alert 2,Strategy,Electronic Arts
1466,MVP Baseball 2004,Sports,Electronic Arts
1467,WWE SmackDown vs Raw 2008,Fighting,THQ
1468,Ratchet & Clank: Up Your Arsenal (Weekly american sales),Platform,Sony Computer Entertainment
1469,Your Shape: Fitness Evolved,Sports,Ubisoft
1470,Rage,Shooter,Bethesda Softworks
1471,Skylanders SWAP Force,Platform,Activision
1472,NBA 2K14,Sports,Take-Two Interactive
1473,Spider-Man: The Movie,Action,Activision
1474,WWF War Zone,Fighting,Acclaim Entertainment
1475,Tony Hawk's Pro Skater,Sports,Activision
1476,The Sims: Bustin' Out,Simulation,Electronic Arts
1477,Triple Play 2001,Sports,Electronic Arts
1478,Metroid Prime 2: Echoes,Shooter,Nintendo
1479,UFC Undisputed 2010,Fighting,THQ
1480,Final Fantasy X / X-2 HD Remaster,Role-Playing,Square Enix
1481,Corvette,Racing,TDK Mediactive
1482,Petz Wild Animals: Dolphinz,Simulation,Ubisoft
1483,Pokemon Ranger: Guardian Signs,Role-Playing,Nintendo
1484,Middle-Earth: Shadow of Mordor,Action,Warner Bros. Interactive Entertainment
1485,Need for Speed Underground Rivals,Racing,Electronic Arts
1486,LEGO Batman: The Videogame,Action,Warner Bros. Interactive Entertainment
1487,Dark Souls II,Role-Playing,Namco Bandai Games
1488,World of Warcraft: Wrath of the Lich King,Role-Playing,Activision
1489,Kingdom Hearts II,Role-Playing,Square Enix
1490,The LEGO Movie Videogame,Action,Warner Bros. Interactive Entertainment
1491,TOCA 2: Touring Cars,Racing,Codemasters
1492,Gyromite,Puzzle,Nintendo
1493,NFL 2K3,Sports,Atari
1494,Fighting Force,Fighting,Eidos Interactive
1495,Mega Man Battle Network 4: Red Sun / Blue Moon,Role-Playing,Capcom
1496,MAG: Massive Action Game,Shooter,Sony Computer Entertainment
1497,Madden NFL 97,Sports,Electronic Arts
1498,Cars 2,Racing,Disney Interactive Studios
1499,Skylanders Giants,Action,Activision
1500,LEGO Batman: The Videogame,Action,Warner Bros. Interactive Entertainment
1501,TNN Motor Sports Hardcore 4x4,Racing,ASC Games
1502,IHRA Drag Racing 2,Racing,Bethesda Softworks
1503,The Beatles: Rock Band,Misc,MTV Games
1504,Tekken 6,Fighting,Namco Bandai Games
1505,[Prototype],Action,Activision
1506,Deal or No Deal,Misc,Zoo Games
1507,Madagascar,Platform,Activision
1508,Rugrats Studio Tour,Adventure,THQ
1509,LEGO Battles,Strategy,Warner Bros. Interactive Entertainment
1510,Pitfall II: Lost Caverns,Platform,Activision
1511,Turok: Evolution,Shooter,Acclaim Entertainment
1512,High School Musical 3: Senior Year DANCE!,Misc,Disney Interactive Studios
1513,Gold's Gym: Cardio Workout,Sports,Ubisoft
1514,Burnout 3: Takedown,Racing,Electronic Arts
1515,Adventure,Adventure,Atari
1516,Yu-Gi-Oh! The Sacred Cards,Role-Playing,Konami Digital Entertainment
1517,Crysis 2,Action,Electronic Arts
1518,NBA Live 07,Sports,Electronic Arts
1519,Saints Row IV,Action,Deep Silver
1520,SingStar '80s,Misc,Sony Computer Entertainment
1521,EA Playground,Sports,Electronic Arts
1522,Test Drive 5,Racing,Accolade
1523,Romancing SaGa 3,Role-Playing,SquareSoft
1524,EA Sports Active 2,Sports,Electronic Arts
1525,Digimon World,Role-Playing,Namco Bandai Games
1526,Rise of the Tomb Raider,Adventure,Square Enix
1527,Need for Speed Carbon,Racing,Electronic Arts
1528,Yoshi's Woolly World,Platform,Nintendo
1529,Mega Man Battle Network 3 Blue / White Version,Role-Playing,Capcom
1530,FIFA Street,Sports,Electronic Arts
1531,Resident Evil Zero,Action,Capcom
1532,Need for Speed: Most Wanted,Racing,Electronic Arts
1533,Tom Clancy's Rainbow Six: Siege,Shooter,Ubisoft
1534,Pirates of the Caribbean: The Curse of the Black Pearl,Platform,TDK Mediactive
1535,Transformers,Shooter,Atari
1536,Guitar Hero: Aerosmith,Misc,Activision
1537,Mystery Case Files: MillionHeir,Adventure,Nintendo
1538,Valkyria Chronicles,Role-Playing,Sega
1539,Midnight Club 3: DUB Edition (America weekly sales),Racing,Take-Two Interactive
1540,Champions of Norrath,Role-Playing,Sony Online Entertainment
1541,Watch Dogs,Action,Ubisoft
1542,Imagine: Wedding Designer,Simulation,Ubisoft
1543,Metal Gear Solid V: Ground Zeroes,Action,Konami Digital Entertainment
1544,Yakuman,Misc,Nintendo
1545,Assassin's Creed Syndicate,Action,Ubisoft
1546,Army Men 3D,Action,3DO
1547,WWE '13,Action,THQ
1548,Twisted Metal 4,Racing,989 Studios
1549,Manhunt,Action,Take-Two Interactive
1550,Kid Icarus: Uprising,Action,Nintendo
1551,Silent Hill 2,Action,Konami Digital Entertainment
1552,Tomb Raider: Underworld,Action,Eidos Interactive
1553,Castlevania: Symphony of the Night,Platform,Konami Digital Entertainment
1554,The Sims 2: Nightlife,Simulation,Electronic Arts
1555,LEGO Batman: The Videogame,Action,Warner Bros. Interactive Entertainment
1556,Road Rash,Racing,Electronic Arts
1557,Pokemon Mystery Dungeon: Gates to Infinity,Role-Playing,Nintendo
1558,Atlantis,Shooter,Imagic
1559,NBA 2K9,Sports,Take-Two Interactive
1560,WWE '12,Fighting,THQ
1561,Tony Hawk's Underground,Sports,Activision
1562,Hogan's Alley,Shooter,Nintendo
1563,The Elder Scrolls Online,Role-Playing,Bethesda Softworks
1564,Jillian Michaels' Fitness Ultimatum 2009,Sports,Deep Silver
1565,.hack//Infection Part 1,Role-Playing,Atari
1566,Rockstar Games presents Table Tennis,Sports,Take-Two Interactive
1567,Sonic Adventure DX: Director's Cut,Platform,Sega
1568,Jet Li: Rise to Honor,Action,Sony Computer Entertainment
1569,Battle Arena Toshinden,Fighting,Sony Computer Entertainment
1570,Yokai Watch 3,Action,Level 5
1571,Kung Fu Panda,Action,Activision
1572,Tamagotchi Connection: Corner Shop,Simulation,Atari
1573,Football Manager 2011,Sports,Sega
1574,Devil Dice,Puzzle,THQ
1575,Final Fantasy IV,Simulation,Square Enix
1576,Hyrule Warriors,Action,Nintendo
1577,Need for Speed Carbon,Racing,Electronic Arts
1578,Championship Manager 03/04,Sports,Eidos Interactive
1579,Brian Lara Cricket,Sports,Codemasters
1580,Ratatouille,Action,THQ
1581,Wheel of Fortune,Misc,Hasbro Interactive
1582,LEGO The Lord of the Rings,Action,Warner Bros. Interactive Entertainment
1583,Winter Sports: The Ultimate Challenge,Sports,RTL
1584,SOCOM: U.S. Navy SEALs Confrontation,Shooter,Sony Computer Entertainment
1585,NBA Live 2001,Sports,Electronic Arts
1586,Star Wars: The Force Unleashed,Action,LucasArts
1587,Combat,Action,Atari
1588,Tom Clancy's Rainbow Six: Vegas,Shooter,Ubisoft
1589,Dragon Ball: Daimaou Fukkatsu,Role-Playing,Namco Bandai Games
1590,Gegege no Kitarou 2: Youkai Gundan no Chousen,Role-Playing,Namco Bandai Games
1591,Reel Fishing,Sports,Natsume
1592,Injustice: Gods Among Us,Fighting,Warner Bros. Interactive Entertainment
1593,Pokemon XD: Gale of Darkness,Role-Playing,Nintendo
1594,Black,Shooter,Electronic Arts
1595,RollerCoaster Tycoon 2,Strategy,Atari
1596,Lara Croft Tomb Raider: The Angel of Darkness,Action,Eidos Interactive
1597,Tom Clancy's Splinter Cell: Pandora Tomorrow,Action,Ubisoft
1598,Road Rash 3D,Racing,Electronic Arts
1599,Ratchet: Deadlocked,Shooter,Sony Computer Entertainment
1600,Baldur's Gate: Dark Alliance,Role-Playing,Virgin Interactive
1601,Transformers: Autobots / Decepticons,Action,Activision
1602,Tales of Xillia,Role-Playing,Namco Bandai Games
1603,Diddy Kong Racing DS,Racing,Nintendo
1604,[Prototype],Action,Activision
1605,Assassin's Creed: Bloodlines,Action,Ubisoft
1606,Oddworld: Abe's Oddysee,Platform,GT Interactive
1607,The Witcher 3: Wild Hunt,Role-Playing,Namco Bandai Games
1608,Ridge Racer V,Action,Namco Bandai Games
1609,WWE SmackDown vs. Raw 2009,Fighting,THQ
1610,Tetris 2 (All region sales),Puzzle,Nintendo
1611,Star Wars Episode III: Revenge of the Sith,Action,Activision
1612,Ben 10: Protector of Earth,Action,D3Publisher
1613,Frogger: The Great Quest,Platform,Konami Digital Entertainment
1614,2010 FIFA World Cup South Africa,Sports,Electronic Arts
1615,Ninja Gaiden,Action,Microsoft Game Studios
1616,Crash Bandicoot: The Wrath of Cortex,Platform,Universal Interactive
1617,Driv3r,Racing,Atari
1618,Disney's Tarzan / Disney's Aladdin in Nasira's Revenge / Disney's The Emperor's New Groove Action Game,Misc,Sony Computer Entertainment
1619,Farming Simulator 2015,Simulation,Focus Home Interactive
1620,Guitar Hero: Aerosmith,Misc,Activision
1621,Medal of Honor: Airborne,Shooter,Electronic Arts
1622,Kirby Tilt 'n' Tumble,Puzzle,Nintendo
1623,SpongeBob SquarePants: Battle for Bikini Bottom,Platform,THQ
1624,Vigilante 8,Racing,Activision
1625,Castlevania,Platform,Konami Digital Entertainment
1626,Donkey Kong Country 2,Platform,Nintendo
1627,Bayonetta,Action,Sega
1628,"WarioWare, Inc.: Mega MicroGame$",Puzzle,Nintendo
1629,Star Wars: Battlefront II,Shooter,LucasArts
1630,Madden NFL 17,Sports,Electronic Arts
1631,Boom Blox,Puzzle,Electronic Arts
1632,Fallout 4,Role-Playing,Bethesda Softworks
1633,The Sims 2: Castaway,Simulation,Electronic Arts
1634,LEGO Batman 2: DC Super Heroes,Action,Warner Bros. Interactive Entertainment
1635,Naruto Shippuden: Ultimate Ninja Storm 2,Fighting,Namco Bandai Games
1636,Mario Power Tennis,Sports,Nintendo
1637,Intelligent Qube,Puzzle,Sony Computer Entertainment
1638,Game & Watch Gallery 2,Misc,Nintendo
1639,Game & Watch Gallery 3,Misc,Nintendo
1640,Pac-Man,Puzzle,Namco Bandai Games
1641,Parfait: Chocolat Second Style,Adventure,Alchemist
1642,F1 2011,Racing,Codemasters
1643,Cars,Racing,THQ
1644,NBA Live 99,Sports,Electronic Arts
1645,Chocobo no Fushigi Dungeon,Role-Playing,SquareSoft
1646,Golden Sun: The Lost Age,Role-Playing,Nintendo
1647,SimCity 2000,Simulation,Maxis
1648,Max Payne,Shooter,Take-Two Interactive
1649,WCW Mayhem,Fighting,Electronic Arts
1650,NBA 2K2,Sports,Sega
1651,NASCAR Thunder 2003,Racing,Unknown
1652,Super Street Fighter IV: 3D Edition,Fighting,Capcom
1653,Cars,Racing,THQ
1654,Fuzion Frenzy,Misc,Microsoft Game Studios
1655,Call of Duty: Finest Hour,Shooter,Activision
1656,FIFA Soccer 11,Sports,Electronic Arts
1657,Sly Cooper and the Thievius Raccoonus,Platform,Sony Computer Entertainment
1658,LEGO Indiana Jones 2: The Adventure Continues,Action,Activision
1659,The Magical Quest starring Mickey Mouse,Platform,Capcom
1660,Dragon Quest IV: Michibikareshi Monotachi,Role-Playing,Enix Corporation
1661,Star Wars Episode 1: Jedi Power Battles,Action,LucasArts
1662,Dino Crisis 2,Action,Virgin Interactive
1663,Need for Speed Underground,Racing,Electronic Arts
1664,Shrek / Shrek 2 2-in-1 Gameboy Advance Video,Misc,
1665,Test Drive 4,Racing,Electronic Arts
1666,FIFA Soccer 07,Sports,Electronic Arts
1667,World Soccer Winning Eleven 9 (JP & Others sales),Sports,Konami Digital Entertainment
1668,The Lord of the Rings: The Fellowship of the Ring,Action,Black Label Games
1669,LEGO Star Wars III: The Clone Wars,Action,LucasArts
1670,ATV Offroad Fury 3,Racing,SouthPeak Games
1671,Pikmin 2,Strategy,Nintendo
1672,Just Dance 2016,Misc,Ubisoft
1673,Disney Sing It,Misc,Disney Interactive Studios
1674,Battlefield: Hardline,Shooter,Electronic Arts
1675,WWE 2K16,Sports,Take-Two Interactive
1676,Dragon Ball Z: La Legende Saien,Fighting,Namco Bandai Games
1677,TwinBee,Shooter,Konami Digital Entertainment
1678,Ganbare Goemon! Karakuri Douchuu,Platform,Konami Digital Entertainment
1679,NFL 2K,Sports,Sega
1680,SolarStriker,Shooter,Nintendo
1681,Enter the Matrix,Action,Atari
1682,NHL 2002,Sports,Electronic Arts
1683,Mario vs. Donkey Kong 2: March of the Minis,Puzzle,Nintendo
1684,PokéPark Wii: Pikachu's Adventure,Adventure,Nintendo
1685,One Piece: Pirate Warriors,Action,Namco Bandai Games
1686,WWE 2K14,Sports,Take-Two Interactive
1687,Metal Gear Solid: Portable Ops,Action,Konami Digital Entertainment
1688,Nuclear Strike,Simulation,Electronic Arts
1689,Captain Toad: Treasure Tracker,Puzzle,Nintendo
1690,WWE SmackDown vs Raw 2008,Fighting,THQ
1691,The Simpsons: Road Rage,Racing,THQ
1692,Pro Evolution Soccer 2008,Sports,Konami Digital Entertainment
1693,SpongeBob SquarePants: Revenge of the Flying Dutchman,Platform,THQ
1694,Mario & Sonic at the London 2012 Olympic Games,Sports,Sega
1695,Scarface: The World is Yours,Action,Vivendi Games
1696,Kobe Bryant in NBA Courtside,Sports,Nintendo
1697,Disney's Chip 'n Dale: Rescue Rangers,Platform,Capcom
1698,The Dukes of Hazzard: Racing for Home,Racing,Ubisoft
1699,Hitman 2: Silent Assassin,Action,Eidos Interactive
1700,FIFA 14,Sports,Electronic Arts
1701,Spider-Man: The Movie,Action,Activision
1702,Final Fantasy I & II: Dawn of Souls,Role-Playing,Nintendo
1703,NBA 2K17,Sports,Take-Two Interactive
1704,Pokemon Super Mystery Dungeon,Role-Playing,Nintendo
1705,Just Dance 4,Misc,Ubisoft
1706,Metal Gear Solid VR Missions,Adventure,Konami Digital Entertainment
1707,Pole Position,Racing,Atari
1708,Resident Evil: Operation Raccoon City,Action,Capcom
1709,LEGO Indiana Jones: The Original Adventures,Action,LucasArts
1710,Pro Yakyuu Family Stadium '88,Sports,Namco Bandai Games
1711,Shenmue,Adventure,Sega
1712,Mario Tennis,Sports,Nintendo
1713,Tony Hawk's Pro Skater 2,Sports,Activision
1714,WWE '12,Fighting,THQ
1715,WWE SmackDown vs. Raw 2010,Fighting,THQ
1716,Plants vs. Zombies,Strategy,Mastertronic
1717,Sonic the Hedgehog,Platform,Sega
1718,Super Ghouls 'n Ghosts,Platform,Capcom
1719,Spore,Strategy,Electronic Arts
1720,Soviet Strike,Simulation,Electronic Arts
1721,Your Shape: Fitness Evolved 2012,Sports,Ubisoft
1722,Army of Two,Shooter,Electronic Arts
1723,Gun,Shooter,Activision
1724,Ty the Tasmanian Tiger,Platform,Electronic Arts
1725,Wario Land: Shake It!,Platform,Nintendo
1726,Sonic Rush Adventure,Platform,Sega
1727,Medal of Honor: Warfighter,Action,Electronic Arts
1728,Mega Man 3,Platform,Capcom
1729,Ratchet & Clank (2016),Platform,Sony Computer Entertainment
1730,Mission: Impossible,Action,Ocean
1731,Romancing SaGa 2,Role-Playing,SquareSoft
1732,Cabela's Dangerous Hunts,Sports,Zoo Digital Publishing
1733,Cool Boarders 4,Sports,989 Studios
1734,Rage Racer,Racing,Sony Computer Entertainment
1735,Medal of Honor: Rising Sun,Shooter,Electronic Arts
1736,Football Manager 2013,Sports,Sega
1737,Destruction Derby 2,Racing,Psygnosis
1738,Mirror's Edge,Platform,Electronic Arts
1739,Destiny: The Taken King,Shooter,Activision
1740,Mario vs. Donkey Kong,Puzzle,Nintendo
1741,007: Quantum of Solace,Action,Activision
1742,EA Sports Active: More Workouts,Sports,Electronic Arts
1743,Fallout: New Vegas,Role-Playing,Bethesda Softworks
1744,Need for Speed: Most Wanted,Racing,Electronic Arts
1745,Final Fantasy Tactics: The War of the Lions,Role-Playing,Square Enix
1746,Midnight Club 3: DUB Edition Remix,Racing,Take-Two Interactive
1747,Tom Clancy's Ghost Recon: Jungle Storm,Shooter,Ubisoft
1748,SingStar,Misc,Sony Computer Entertainment
1749,Bushido Blade,Fighting,Sony Computer Entertainment
1750,LEGO Star Wars III: The Clone Wars,Action,LucasArts
1751,NASCAR Thunder 2002,Racing,Electronic Arts
1752,Jet Force Gemini,Shooter,Nintendo
1753,Mega Man X,Platform,Capcom
1754,Yu-Gi-Oh! The Sacred Cards (American and Others sales),Role-Playing,Konami Digital Entertainment
1755,Sega Rally Championship,Racing,Sega
1756,Test Drive: Off Road,Racing,Eidos Interactive
1757,Medal of Honor Heroes 2,Shooter,Electronic Arts
1758,Sniper: Ghost Warrior,Shooter,City Interactive
1759,Rocksmith,Misc,Ubisoft
1760,LEGO Star Wars: The Video Game,Action,Eidos Interactive
1761,FIFA Soccer 10,Sports,Electronic Arts
1762,Plants vs. Zombies: Garden Warfare,Shooter,Electronic Arts
1763,Worldwide Soccer Manager 2009,Simulation,Sega
1764,Omerta: City of Gangsters,Simulation,Konami Digital Entertainment
1765,Gauntlet: Dark Legacy,Action,Midway Games
1766,Ninja Gaiden Sigma,Action,Eidos Interactive
1767,Bad Boys: Miami Takedown,Shooter,Empire Interactive
1768,Kaboom!,Misc,Activision
1769,Red Dead Redemption: Undead Nightmare,Action,Take-Two Interactive
1770,Sonic and the Black Knight,Platform,Sega
1771,Call of Duty 4: Modern Warfare,Shooter,Activision
1772,Qix,Puzzle,Nintendo
1773,Derby Stallion III,Sports,ASCII Entertainment
1774,Doraemon,Action,Hudson Soft
1775,High School Musical 2: Work This Out!,Misc,Disney Interactive Studios
1776,Ratchet & Clank: All 4 One,Platform,Sony Computer Entertainment
1777,Donkey Konga,Misc,Nintendo
1778,Fight Night Champion,Fighting,Electronic Arts
1779,Dragon Quest I & II,Role-Playing,Enix Corporation
1780,Tak and the Power of Juju,Platform,THQ
1781,Asteroids,Shooter,Success
1782,Puyo Puyo Sun Ketteiban,Puzzle,Compile
1783,Pokemon Rumble Blast,Action,Nintendo
1784,Action Bass,Action,Take-Two Interactive
1785,Tenchu: Wrath of Heaven,Action,Activision
1786,Shadow of the Colossus,Action,Sony Computer Entertainment
1787,Brave Fencer Musashi,Role-Playing,SquareSoft
1788,Hot Shots Golf: Out of Bounds,Sports,Sony Computer Entertainment
1789,Dance Dance Revolution Extreme 2,Simulation,Konami Digital Entertainment
1790,Mirror's Edge,Platform,Electronic Arts
1791,Rabbids Go Home,Platform,Ubisoft
1792,South Park,Shooter,Acclaim Entertainment
1793,Commando,Action,Capcom
1794,Pilotwings,Simulation,Nintendo
1795,Resident Evil - Code: Veronica,Action,Eidos Interactive
1796,Super R.C. Pro-Am,Racing,Nintendo
1797,The Lord of the Rings: The Return of the King,Action,Electronic Arts
1798,LEGO Star Wars: The Video Game,Action,Eidos Interactive
1799,Royal Palace of White Sword and The City of Gentiles,Role-Playing,Take-Two Interactive
1800,Guitar Hero 5,Misc,Activision
1801,Mobile Suit Gundam: Federation vs. Zeon,Simulation,Atari
1802,Need for Speed Underground 2,Racing,Electronic Arts
1803,MechAssault,Simulation,Microsoft Game Studios
1804,ModNation Racers,Racing,Sony Computer Entertainment
1805,LEGO Star Wars III: The Clone Wars,Action,LucasArts
1806,Derby Stallion 99,Sports,ASCII Entertainment
1807,Cars,Racing,THQ
1808,Fantasy Life,Role-Playing,Nintendo
1809,Tom Clancy's Rainbow Six 3: Black Arrow,Shooter,Ubisoft
1810,WWE 2K15,Sports,Take-Two Interactive
1811,Donkey Kong,Platform,Nintendo
1812,Jampack Winter '98,Misc,Sony Computer Entertainment
1813,WWE 2K14,Sports,Take-Two Interactive
1814,Alien: Isolation,Shooter,Sega
1815,Yakuza 3,Action,Sega
1816,Pokémon Mystery Dungeon: Red Rescue Team (US weekly sales),Role-Playing,Nintendo
1817,The Beatles: Rock Band,Misc,MTV Games
1818,Dragon Age II,Action,Electronic Arts
1819,Moon Patrol,Shooter,Atari
1820,Supercar Street Challenge,Racing,Activision
1821,Pilotwings 64,Simulation,Nintendo
1822,Crackdown 2,Shooter,Microsoft Game Studios
1823,Final Fantasy XIV: A Realm Reborn,Role-Playing,Square Enix
1824,Castlevania: Lords of Shadow,Action,Konami Digital Entertainment
1825,Rocksmith,Misc,Ubisoft
1826,Disney Infinity 2.0: Marvel Super Heroes,Action,Disney Interactive Studios
1827,SOCOM: U.S. Navy SEALs Fireteam Bravo,Shooter,Sony Computer Entertainment
1828,Call Of Duty 2: Big Red One,Shooter,Activision
1829,Yoshi's Cookie,Puzzle,Nintendo
1830,Guitar Hero 5,Misc,Activision
1831,Worldwide Soccer Manager 2008,Sports,Russel
1832,Spider-Man 2,Action,Activision
1833,Counter-Strike,Shooter,Microsoft Game Studios
1834,Mad Max (2015),Action,Warner Bros. Interactive Entertainment
1835,"Transformers: The Game (XBox 360, PS2, PS3, Wii & PC Versions)",Action,Activision
1836,GRID,Racing,Codemasters
1837,Guitar Hero Encore: Rocks The 80s,Misc,RedOctane
1838,Sunset Overdrive,Shooter,Microsoft Game Studios
1839,Rock Band,Misc,Electronic Arts
1840,Tom Clancy's Splinter Cell: Chaos Theory,Action,Ubisoft
1841,Donkey Kong Jr.,Platform,Nintendo
1842,Arc the Lad,Role-Playing,Sony Computer Entertainment
1843,NBA Jam Tournament Edition,Sports,Acclaim Entertainment
1844,Need for Speed: ProStreet,Racing,Electronic Arts
1845,Pikmin 3,Strategy,Nintendo
1846,Legend of Mana,Role-Playing,SquareSoft
1847,Lumines: Puzzle Fusion,Puzzle,Ubisoft
1848,Toy Story 3: The Video Game,Action,Disney Interactive Studios
1849,Guitar Hero 5,Misc,Activision
1850,Megamania,Shooter,Activision
1851,Medal of Honor: Airborne,Shooter,Electronic Arts
1852,The Legend of Zelda: Tri Force Heroes,Action,Nintendo
1853,Jungle Hunt,Platform,Atari
1854,Triple Play 98,Sports,Electronic Arts
1855,LEGO The Lord of the Rings,Action,Warner Bros. Interactive Entertainment
1856,Petz Dogz 2,Simulation,Ubisoft
1857,WWE SmackDown vs. Raw 2011,Fighting,THQ
1858,Yu-Gi-Oh! Duel Monsters II: Dark Duel Stories,Strategy,Konami Digital Entertainment
1859,Lode Runner,Puzzle,Hudson Soft
1860,The Final Fantasy Legend,Role-Playing,SquareSoft
1861,Famicom Jump: Eiyuu Retsuden,Role-Playing,Namco Bandai Games
1862,F-Zero X,Racing,Nintendo
1863,Popeye,Platform,Nintendo
1864,NERF N-Strike,Shooter,Electronic Arts
1865,NBA Live 2001,Sports,Electronic Arts
1866,SingStar Legends,Misc,Sony Computer Entertainment
1867,SingStar Rocks!,Misc,Sony Computer Entertainment
1868,Tales of Symphonia,Role-Playing,Nintendo
1869,Untold Legends: Brotherhood of the Blade,Role-Playing,Activision
1870,Star Ocean: The Second Story,Role-Playing,Sony Computer Entertainment
1871,Lightning Returns: Final Fantasy XIII,Role-Playing,Square Enix
1872,Star Wars: The Force Unleashed,Action,LucasArts
1873,Imagine: Babysitters,Simulation,Ubisoft
1874,The Simpsons Game,Action,Electronic Arts
1875,Yakuza 2,Adventure,Sega
1876,Skate 2,Sports,Electronic Arts
1877,Dragon Ball Z: The Legacy of Goku II,Role-Playing,Atari
1878,Virtua Fighter 5,Fighting,Sega
1879,NFL 2K1,Sports,Sega
1880,BeatMania,Simulation,Konami Digital Entertainment
1881,Namco Museum Battle Collection,Misc,Sony Computer Entertainment
1882,LEGO Star Wars II: The Original Trilogy,Action,LucasArts
1883,Madden NFL 2004,Sports,Electronic Arts
1884,Empire: Total War,Strategy,Sega
1885,The Godfather,Action,Electronic Arts
1886,Tiger Woods PGA Tour 10,Sports,Electronic Arts
1887,Star Wars: Bounty Hunter,Shooter,LucasArts
1888,Densha De Go!,Simulation,Taito
1889,Dante's Inferno,Action,Electronic Arts
1890,Sonic & Sega All-Stars Racing,Racing,Sega
1891,Skylanders Giants,Action,Activision
1892,Endless Ocean,Adventure,Nintendo
1893,NFL Blitz 2000,Sports,Midway Games
1894,Sonic Free Riders,Racing,Sega
1895,NASCAR Thunder 2004,Racing,Electronic Arts
1896,Prince of Persia,Action,Ubisoft
1897,SpongeBob SquarePants: Revenge of the Flying Dutchman,Platform,THQ
1898,Grand Theft Auto V,Action,Take-Two Interactive
1899,The Biggest Loser,Sports,THQ
1900,Fisherman's Bass Club,Sports,Agetec
1901,MySims Agents,Adventure,Electronic Arts
1902,Resident Evil: The Darkside Chronicles,Action,Capcom
1903,NCAA Football 13,Action,Electronic Arts
1904,Grand Theft Auto: Chinatown Wars,Action,Take-Two Interactive
1905,FIFA Soccer 11,Sports,Electronic Arts
1906,The Orange Box,Shooter,Electronic Arts
1907,Joust,Platform,Atari
1908,Tomb Raider: Underworld,Action,Eidos Interactive
1909,Tom Clancy's Ghost Recon 2,Shooter,Ubisoft
1910,DiRT 3,Racing,Codemasters
1911,LEGO City Undercover,Platform,Nintendo
1912,Spore Creatures,Simulation,Electronic Arts
1913,Ready 2 Rumble Boxing,Sports,Midway Games
1914,Dragon Ball Z: Taiketsu,Fighting,Atari
1915,Disney's Lilo & Stitch,Platform,Ubisoft
1916,Star Fox: Assault,Shooter,Nintendo
1917,Naruto: Ultimate Ninja Storm,Fighting,Namco Bandai Games
1918,Marvel vs. Capcom 3: Fate of Two Worlds,Fighting,Capcom
1919,NCAA Football 14,Sports,Electronic Arts
1920,Doko Demo Issyo,Misc,Sony Computer Entertainment
1921,Call of Duty 3,Shooter,Activision
1922,Imagine: Fashion Designer New York,Simulation,Ubisoft
1923,Red Dead Redemption: Undead Nightmare,Action,Take-Two Interactive
1924,Bully: Scholarship Edition,Action,Take-Two Interactive
1925,Virtua Fighter,Fighting,Sega
1926,Championship Manager 99/00,Sports,Eidos Interactive
1927,WWE SmackDown vs. Raw 2010,Fighting,THQ
1928,Pro Evolution Soccer 2008,Sports,Konami Digital Entertainment
1929,Super Princess Peach,Platform,Nintendo
1930,NHL 99,Sports,Electronic Arts
1931,SoulCalibur III,Fighting,Namco Bandai Games
